change,synonym,from ID (v4),from term (v4),to ID (v5),to term (v5),why
ADDED,access to food,,,OTC_137,Food access,added by the 3 Sep cleanup
ADDED,Adaptation investment,,,INT_240,Adaptation finance,added by the 3 Sep cleanup
ADDED,adaptation M&E,,,INT_142,Adaptation monitoring and evaluation,added by the 3 Sep cleanup
ADDED,adaptation ME,,,INT_142,Adaptation monitoring and evaluation,added by the 3 Sep cleanup
ADDED,adaptation MEL,,,INT_142,Adaptation monitoring and evaluation,added by the 3 Sep cleanup
ADDED,Agricultural advisory service,,,STK_021,Extension service,added by the 3 Sep cleanup
ADDED,agricultural practice,,,INT_319,Farming practice,"redundant (label already matches after normalisation): ['farming practices'] - the tagger's norm_match() collapses case, hyphens and punctuation and sing_variants() collapses plurals, so this entry cannot match anything the label 'Farming practice' does not already match. Zero recall cost, verified against the matcher code."
ADDED,Agrifood emissions,,,OTC_105,Greenhouse gas emissions,added by the 3 Sep cleanup
ADDED,agro-climate bulletin,,,OUT_135,Agro-climatic bulletin,added by the 3 Sep cleanup
ADDED,Agro-climatic advisory platform,,,OUT_066,Climate advisory tool,added by the 3 Sep cleanup
ADDED,Agro-forestry,,,INT_060,Agroforestry,redundant (label already matches inside the phrase): ['Agroforestry system']
ADDED,agroclimatic advisory,,,INT_232,Agro-climate advisory,redundant (label already matches inside the phrase): ['agro-climate advisory service']
ADDED,agroclimatic advisory service,,,INT_232,Agro-climate advisory,redundant (label already matches inside the phrase): ['agro-climate advisory service']
ADDED,agroclimatic bulletin,,,OUT_135,Agro-climatic bulletin,added by the 3 Sep cleanup
ADDED,agroecological,,,INT_274,Agroecology,added by the 3 Sep cleanup
ADDED,Agroecological diversification,,,INT_274,Agroecology,added by the 3 Sep cleanup
ADDED,Agroecological transition,,,INT_274,Agroecology,added by the 3 Sep cleanup
ADDED,animal health,,,INT_054,Animal health management,added by the 3 Sep cleanup
ADDED,animal nutrition,,,INT_295,Livestock nutrition,added by the 3 Sep cleanup
ADDED,Anticipatory risk management,,,INT_229,Climate risk management,"removed: ['risk management'] - the concept is 'Climate risk management' and this synonym drops 'climate', which is the word that puts it in scope. The short form does not mean the same thing, so it matches text that is not about climate at all. Owner is Adaptation-specific (no hazard gate), so the conditional hazard check does NOT bound the damage - this is the highest-severity synonym class. Dema"
ADDED,Aquaculture practice,,,INT_210,Aquaculture management,added by the 3 Sep cleanup
ADDED,Aquatic food system,,,SYS_029,Aquatic system,added by the 3 Sep cleanup
