provenance,prov_class
Andreea,Domain expert
Andreea+Lexicon,Domain expert; Lexicon consensus
Andreea+Todd,Domain expert
Andreea+Todd+Lexicon,Domain expert; Lexicon consensus
Lexicon,Lexicon consensus
Lexicon (mitigation),Lexicon consensus
New (Andreea),Domain expert
New (activity-genus),Restructure (v5)
New (climate-service product split),Restructure (v5)
New (design),Restructure (v5)
New (facet grouping),Restructure (v5)
New (facet top concept),Restructure (v5)
New (per your comment),Domain expert
New (reviewer),Domain expert
"New (split, per your comment)",Domain expert; Restructure (v5)
"New (split, per your comment)+Lexicon",Domain expert; Restructure (v5); Lexicon consensus
New (v5),Restructure (v5)
New (your instruction),Domain expert
"New (your instruction: Policy coherence is an outcome, not intervention)",Domain expert
"New (your question: captures ""investment informed/mobilised"")",Domain expert
PRMS pilot 1,PRMS pilot
Re-added (your instruction),Domain expert
"Restored (genus, Rule A)",Restructure (v5)
Split from Food loss and waste (moved System->Outcome),Restructure (v5)
Todd,Domain expert
Todd (mitigation),Domain expert
Todd (restructure),Domain expert; Restructure (v5)
Todd (split),Domain expert; Restructure (v5)
Todd+Lexicon,Domain expert; Lexicon consensus
restored+Lexicon,Restructure (v5); Lexicon consensus
split,Restructure (v5)
split from Knowledge and skills,Restructure (v5)
