word_or_ID,normalised_for_matching,exclusion_type,decided_by,date,reason,status_in_v5_today,breaches_this_exclusion,where_the_original_record_lives,on_tagging_stoplist
ADP_06,adp_06,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Scaling'. Successor: dropped. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CCC_39,ccc_39,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Nature-positive'. Successor: INT_271. retired in remediation: R32: a named approach that can fill the intervention element; Lolita chose INT_271 as owner,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CCC_40,ccc_40,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Site-specific'. Successor: INT_236. retired in remediation: R32 fail; 'site-specific management' is the standard term for precision agriculture,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CCC_41,ccc_41,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Regenerative'. Successor: INT_275. retired in remediation: R4 twin of INT_275 Regenerative agriculture; adjectival label (R35),absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CCC_42,ccc_42,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Adequacy'. Successor: OTC_095 (word parked). retired in remediation: R4 twin of OTC_095 Climate policy adequacy; bare 'adequacy' too broad to attach safely,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CCC_43,ccc_43,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Efficiency'. Successor: OTC_111/112/113 (word parked). retired in remediation: R4 twin of the efficiency family; bare 'efficiency' too broad to attach safely,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CCC_44,ccc_44,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Effectiveness'. Successor: OTC_093 (word parked). retired in remediation: R4 twin of OTC_093 Adaptation effectiveness; bare 'effectiveness' too broad to attach,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CCC_45,ccc_45,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Collaboration'. Successor: OTC_044. retired in remediation: R32 fail; folds into OTC_044 Coordination,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CCC_46,ccc_46,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,"was 'Inclusive'. Successor: OTC_116. retired in remediation: R4 twin of OTC_116 Inclusion, which had no synonyms; adjectival label (R35)",absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CRK_03,crk_03,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Exposure'. Successor: CRK_163. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CRK_04,crk_04,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Vulnerability'. Successor: CRK_164. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
CRK_05,crk_05,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Sensitivity'. Successor: CRK_165. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
INT_092,int_092,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Climate data generation'. Successor: dropped. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
INT_157,int_157,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'National research and extension system strengthening'. Successor: dropped. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
INT_190,int_190,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Climate-health programming'. Successor: dropped. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
INT_195,int_195,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Climate-mobility programming'. Successor: dropped. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
INT_196,int_196,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Planned relocation support'. Successor: dropped. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
INT_201,int_201,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Intellectual property and licensing'. Successor: dropped. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
OUT_006,out_006,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Insurance product'. Successor: INT_306 Insurance. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
OUT_042,out_042,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Plan'. Successor: dropped (children promoted to L1). removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
OUT_054,out_054,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Market intelligence platform'. Successor: dropped. removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
OUT_065,out_065,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Climate information product'. Successor: dropped (children promoted to L1). removed by Andreea in v5 draft,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
STK_012,stk_012,RETIRED-ID-NEVER-REUSE,Andreea / remediation,2026-09-03,was 'Indigenous Peoples'. Successor: STK_065. same-facet duplicate merged,absent,no - the identifier is not in use,v5_retired_ids.csv,"n/a - identifier, not a word"
Adequacy,adequacy,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CCC_42). Successor: OTC_095 (word parked). Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Climate data generation,climate data generation,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (INT_092). Successor: dropped. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Climate-health programming,climate health programming,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (INT_190). Successor: dropped. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
