"Column","Value","Definition"
"Facet","Climate risk","Potential for adverse consequences of climate and its determinants and manifestations; the adaptation-side anchor. Prefix CRK_."
"Facet","Climate driver","Causal-side mitigation anchor: greenhouse gases, emission sources, and the Climate change and Climate variability drivers. Prefix CDI_."
"Facet","System","Agri-food and ecological systems and components acted upon or affected. Prefix SYS_."
"Facet","Intervention","An action or activity taken to adapt or mitigate. Prefix INT_."
"Facet","Output","A tangible product, service, or deliverable produced by an intervention. Prefix OUT_."
"Facet","Outcome","A neutral state or property that changes as a result; direction applied at tagging time. Prefix OTC_."
"Facet","Impact","A long-term or higher-order effect. Prefix IMP_."
"Facet","Adoption pathway","A modifier describing the stage or degree of uptake and scaling; never used alone. Prefix ADP_."
"Facet","Breeding trait","A heritable characteristic targeted by breeding. Prefix TRT_."
"Facet","Stakeholder","An actor or social group involved in or affected by climate action. Prefix STK_."
"Facet","Cross-cutting concept","A construct that qualifies other terms rather than occupying a position on the results chain: normative principles, named ways of working, and greenhouse-gas accounting constructs. Prefix CCC_. A term belongs here only if it cannot fill a pathway element on its own; if it can, it belongs in a chain facet."
"Level","L1","Top-level concept in its facet; Parent ID is blank."
"Level","L2","A kind of an L1 term."
"Level","L3","A kind of an L2 term."
"Level","L4","A kind of an L3 term."
"Level","L5","A kind of an L4 term."
"Level","L6","A kind of an L5 term."
"Pathway stage","Rationale","Establishes why a term counts: climate risks and drivers."
"Pathway stage","Intervention","The action taken."
"Pathway stage","Output","What the action produces."
"Pathway stage","Outcome","The state that changes as a result."
"Pathway stage","Impact","The long-term effect."
"Pathway stage","Stakeholder","The actors, sitting alongside the results-chain."
"Pathway stage","Uptake stage","The adoption and scaling modifiers."
"Pathway stage","Cross-cutting","Concepts, principles, and traits that apply across the chain."
"Climate scope","Adaptation","Serves adaptation only."
"Climate scope","Mitigation","Serves mitigation only."
"Climate scope","Adaptation + Mitigation","Serves both; a single row carrying both tags."
"Adaptation tag","Adaptation-specific","Intrinsic to the climate frame."
"Adaptation tag","Adaptation-conditional","General term; counts as adaptation only in combination. Condition in Adaptation condition."
"Adaptation tag","n/a","Not adaptation-relevant (mitigation-only term)."
"Mitigation tag","Mitigation-specific","Intrinsic to the mitigation frame."
