change,ID,term,facet,level (v5),parent (v5),field changed,value in v4,value in v5,why
ADDED,CCC_36,Food system transformation,Outcome,L1,(top level),(new concept),(not present in v4),"Cross-cutting concept denoting deep, systemic change in how food is produced, distributed and consumed, beyond incremental improvement.  [source: FAO/HLPE (food system transformation)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CCC_37,Environmental damage,Outcome,L1,(top level),(new concept),(not present in v4),"Cross-cutting concept denoting harm to ecosystems, natural resources or environmental quality.  [source: UNEP (environmental damage)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CCC_38,Resource recovery,Intervention,L2,INT_278 Circular economy,(new concept),(not present in v4),"Circular economy that recovers and reuses materials, nutrients, water or energy from waste streams.  [source: Ellen MacArthur Foundation (circular economy / resource recovery)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CCC_47,Peacebuilding,Intervention,L1,(top level),(new concept),(not present in v4),Cross-cutting concept denoting activities that reduce conflict drivers and strengthen the conditions for peace.  [source: UN (peacebuilding); CGIAR Climate Security],added by the 3 Sep cleanup from Andreea's lists
ADDED,CCC_48,Co-design,Intervention,L1,(top level),(new concept),(not present in v4),Cross-cutting concept denoting the joint development of interventions with their intended users and stakeholders.  [source: participatory design literature (co-design); CGIAR],added by the 3 Sep cleanup from Andreea's lists
ADDED,CDI_10,Climate,Climate driver,L1,(top level),(new concept),(not present in v4),"Average weather, or more rigorously, the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years.  [source: IPCC AR6 WGI Annex VII Glossary: Climate]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CDI_11,El Nino,Climate driver,L3,CDI_19 El Nino-Southern Oscillation,(new concept),(not present in v4),"Warm phase of the El Nino-Southern Oscillation, in which weakened trade winds and warm sea-surface temperatures in the central and eastern equatorial Pacific shift rainfall and temperature patterns worldwide.  [source: IPCC AR6 WGI Annex VII Glossary: El Niño-Southern Oscillation (ENSO)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CDI_12,La Nina,Climate driver,L3,CDI_19 El Nino-Southern Oscillation,(new concept),(not present in v4),"Cold phase of the El Nino-Southern Oscillation, in which strengthened trade winds and cool sea-surface temperatures in the central and eastern equatorial Pacific shift rainfall and temperature patterns worldwide.  [source: IPCC AR6 WGI Annex VII Glossary: El Niño-Southern Oscillation (ENSO)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CDI_13,Temperature,Climate driver,L1,(top level),(new concept),(not present in v4),"Climate variable measuring the degree of atmospheric or surface heat, whose averages, extremes and trends condition agricultural production and climate risk.  [source: WMO/GCOS Essential Climate Variables (temperature)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CDI_14,Humidity,Climate driver,L1,(top level),(new concept),(not present in v4),"Climate variable measuring the water-vapour content of the air, influencing heat stress, evapotranspiration, and pest and disease dynamics.  [source: WMO/GCOS Essential Climate Variables (humidity)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CDI_15,Soil moisture,Climate driver,L1,(top level),(new concept),(not present in v4),"Climate-related variable measuring the water held in soil, linking rainfall and temperature to crop water availability and drought development.  [source: WMO/GCOS Essential Climate Variables (soil moisture)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CDI_16,Dry season,Climate driver,L1,(top level),(new concept),(not present in v4),"Recurring period of the year with little or no rainfall, whose timing, length and intensity structure agricultural calendars and water availability.  [source: WMO (climatological seasons); AGROVOC: dry season]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CDI_17,Wet season,Climate driver,L1,(top level),(new concept),(not present in v4),"Recurring period of the year concentrating most annual rainfall, whose onset, length and intensity structure planting decisions and flood risk.  [source: WMO (climatological seasons); AGROVOC: rainy season]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CDI_18,Rainfall,Climate driver,L1,(top level),(new concept),(not present in v4),"Climate variable measuring the depth of water reaching the ground as rain, whose totals, timing and intensity determine crop water availability.  [source: WMO/GCOS Essential Climate Variables (precipitation); AGROVOC: rainfall]",Lolita's decision: the one term to add. Family pattern and source copied from CDI_13/14/15 (WMO/GCOS Essential Climate Variables)
ADDED,CDI_19,El Nino-Southern Oscillation,Climate driver,L2,CDI_09 Climate variability,(new concept),(not present in v4),Climate variability comprising the coupled ocean-atmosphere oscillation in the tropical Pacific that alternates between warm and cold phases on an interannual timescale.  [source: IPCC AR6 WGI Annex VII Glossary: El Nino-Southern Oscillation (ENSO)],"ENSO restored per Lolita. It could not go back on CDI_11 El Nino because ENSO is the whole oscillation and El Nino only its warm phase, so the word was broader than the concept. Both phase definitions already open ""Warm/Cold phase of the El Nino-Southern Oscillation"", so the oscillation was the genus their own text named - it just had no row."
ADDED,CRK_167,Climate impact,Climate risk,L1,(top level),(new concept),(not present in v4),"Consequence of realised climate-related risks on natural and human systems, referring to effects on lives, livelihoods, health and well-being, ecosystems and species, economic, social and cultural assets, services and infrastructure; impacts may be adverse or beneficial.  [source: IPCC AR6 WGII Glossary: Impacts]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CRK_168,Health risk,Climate risk,L1,(top level),(new concept),(not present in v4),"Potential for adverse health consequences - disease, injury, malnutrition or death - in human populations, treated as climate-related when attributable to climate hazards or climate-sensitive transmission pathways.  [source: WHO (environmental health risks); IPCC AR6 WGII Ch.7]",added by the 3 Sep cleanup from Andreea's lists
ADDED,CRK_169,Water scarcity,Climate risk,L4,CRK_121 Hydrological hazard,(new concept),(not present in v4),"Hydrological hazard in which the demand for freshwater exceeds the available supply within a given geographic area and time period, intensifying as demand grows or as the quantity or quality of water resources declines.  [source: FAO / UN-Water (water scarcity); IPCC AR6 WGII Ch.4]",42 of the 2025 results wanted it and nothing in v5 matched 'scarcity'
ADDED,INT_280,Breeding pipeline,Intervention,L2,INT_002 Breeding,(new concept),(not present in v4),Breeding organised as a staged pipeline that advances candidate varieties or breeds from crossing and selection through testing to release.  [source: CGIAR Excellence in Breeding (breeding pipelines)],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_281,Breeding network,Intervention,L2,INT_002 Breeding,(new concept),(not present in v4),"Breeding conducted through a coordinated network of programmes, stations and partners that share germplasm, trials and data across locations.  [source: CGIAR breeding networks (portfolio category; no external reference)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_282,Fertilizer,Intervention,L2,INT_283 Agricultural input,(new concept),(not present in v4),"Agricultural input that supplies plant nutrients to crops and soils to sustain or increase production, in mineral or organic form.  [source: AGROVOC: fertilizers]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_283,Agricultural input,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention comprising the material inputs applied in crop and livestock production, on which yields and system performance depend.  [source: FAO (agricultural inputs); AGROVOC]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_284,Integrated soil fertility management,Intervention,L3,INT_212 Soil management,(new concept),(not present in v4),"Soil management that combines organic and mineral nutrient sources with improved germplasm, adapted to local conditions, to sustain soil fertility and productivity.  [source: Vanlauwe et al. (2010) Integrated Soil Fertility Management]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_285,Forage conservation,Intervention,L3,INT_049 Forage management,(new concept),(not present in v4),"Forage management that preserves surplus forage as hay, silage or stored residues for feeding during scarcity periods.  [source: FAO (forage conservation); AGROVOC: silage]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_286,Solar irrigation,Intervention,L4,INT_039 Irrigation,(new concept),(not present in v4),"Irrigation powered by solar photovoltaic pumping, decoupling water lifting from fossil fuel and grid constraints.  [source: FAO/IWMI (solar-powered irrigation)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_287,Transboundary water management,Intervention,L3,INT_038 Water management,(new concept),(not present in v4),"Water management coordinated across national or administrative boundaries for shared rivers, lakes and aquifers.  [source: UNECE Water Convention; Global Water Partnership]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_288,Water conservation,Intervention,L2,INT_235 Natural resource management,(new concept),(not present in v4),"Natural resource management that reduces water losses and demand through storage, soil-moisture retention and efficient use.  [source: AGROVOC: water conservation]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_289,Ecosystem conservation,Intervention,L3,INT_059 Landscape management,(new concept),(not present in v4),Landscape management that maintains ecosystems and their species and services by preventing conversion and degradation.  [source: CBD; AGROVOC: nature conservation],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_290,Agricultural credit,Intervention,L2,INT_305 Financial service,(new concept),(not present in v4),Financial service providing loans and credit tailored to agricultural production cycles and investment needs.  [source: AGROVOC: agricultural credit; FAO],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_291,Mitigation finance,Intervention,L2,INT_113 Climate finance,(new concept),(not present in v4),Climate finance directed to activities that reduce greenhouse gas emissions or enhance carbon sinks.  [source: UNFCCC (climate finance for mitigation)],added by the 3 Sep cleanup from Andreea's lists
