id,iri,term,synonyms,facet,level,parent_id,definition,definition_source,pathway_stage,climate_scope,adaptation_tag,adaptation_condition,mitigation_tag,is_hazard,provenance,status,version
CDI_10,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CDI_10,Climate,,Climate driver,1,,"Average weather, or more rigorously, the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years.",IPCC AR6 WGI Annex VII Glossary: Climate,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,FALSE,Restructure (v5),current,5.0.0-draft
CRK_167,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_167,Climate impact,,Climate risk,1,,"Consequence of realised climate-related risks on natural and human systems, referring to effects on lives, livelihoods, health and well-being, ecosystems and species, economic, social and cultural assets, services and infrastructure; impacts may be adverse or beneficial.",IPCC AR6 WGII Glossary: Impacts,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Restructure (v5),current,5.0.0-draft
CRK_01,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_01,Climate risk,hazard exposure; climate-related risk,Climate risk,1,,"Potential for adverse consequences for human or ecological systems, arising from the dynamic interaction between climate-related hazards and the exposure and vulnerability of the affected systems.",IPCC AR6 WGII Glossary: Risk,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_06,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_06,Compound climate risk,compound risk; multi-hazard risk,Climate risk,2,CRK_01,"Climate risk that results from the combination of multiple climate hazards, drivers, or their interactions, whose joint occurrence produces consequences greater than those of the individual hazards alone.",IPCC AR6 WGI Ch.11: Compound events,Cross-cutting,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_168,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_168,Health risk,,Climate risk,1,,"Potential for adverse health consequences - disease, injury, malnutrition or death - in human populations, treated as climate-related when attributable to climate hazards or climate-sensitive transmission pathways.",WHO (environmental health risks); IPCC AR6 WGII Ch.7,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Restructure (v5),current,5.0.0-draft
CRK_100,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_100,Climate hazard,climate-related hazard; climatic hazard,Climate risk,1,,"Potential occurrence of a climate-related physical event or trend that may cause loss of life, injury, or other health impacts, as well as damage and loss to property, infrastructure, livelihoods, service provision, ecosystems, and environmental resources.",IPCC AR6 WGII Glossary: Hazard,Cross-cutting,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Restructure (v5),current,5.0.0-draft
CRK_136,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_136,Biological hazard,biotic hazard,Climate risk,2,CRK_100,"Climate hazard arising from living organisms whose distribution, abundance, or activity is influenced by climate variability or change, including pests, pathogens, and invasive species that harm agricultural and ecological systems.",IPCC AR6 WGII Ch.2,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_137,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_137,Pest pressure,,Climate risk,3,CRK_136,"Biological hazard characterised by shifts in the distribution, abundance, or timing of pest or vector populations caused by climate variability or change, affecting crop, livestock, fishery, and livelihood systems.",IPCC AR6 WGII Ch.2,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_138,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_138,Pest range expansion,pest range shift; vector expansion,Climate risk,4,CRK_137,"Form of pest pressure characterised by the geographic spread of pests or vectors into areas that climate change has rendered newly suitable, exposing previously unaffected crops, livestock, and ecosystems.",IPCC AR6 WGII Ch.2: Species range shifts,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_139,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_139,Pest phenology disruption,pest phenology shift,Climate risk,4,CRK_137,"Form of pest pressure characterised by climate-driven changes in the timing of pest or vector life-cycle events, such as emergence and reproduction, that alter their synchrony with hosts and crop calendars.",IPCC AR6 WGII Ch.2: Phenology shifts; AGROVOC: phenology,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
